Provinsi,Kelapa Sawit,Kelapa,Karet,Kopi,Kakao,Tebu,Teh,Tembakau
ACEH,478.1,102.6,100,114,93.4,-,-,2.3
SUMATERA UTARA,1371.9,111.4,373.1,98.6,53.4,7.6,3.5,1.9
SUMATERA BARAT,444.1,85.3,130.7,23.8,64.8,-,2.9,0.1
RIAU,2869.3,437.8,240.4,4.3,3.5,-,-,-
JAMBI,1062.4,115.6,408.5,31.5,2.5,-,1.8,0.3
SUMATERA SELATAN,1162.7,69.3,883.3,267.2,10,31.6,1.5,0.1
BENGKULU,416.9,8.8,101.8,91.2,5.6,-,0.9,-
LAMPUNG,199.5,89.7,174.5,155.2,77,141.2,-,0.5
KEP. BANGKA BELITUNG,250.8,8.6,45.8,0.3,0.6,-,-,-
KEP. RIAU,7.6,33.5,23.6,-,-,-,-,-
DKI JAKARTA,-,-,-,-,-,-,-,-
JAWA BARAT,15.8,144.6,44.7,53.2,5.1,13.9,78.5,8
JAWA TENGAH,-,200.1,28.4,49,4.6,48.8,8.9,50
DI YOGYAKARTA,-,38.8,0.1,1.8,4.9,2.3,0.1,0.4
JAWA TIMUR,-,228.4,19,91.4,39,227,1.6,90.6
BANTEN,18.2,74.6,15.5,6.2,7.6,-,0.1,-
BALI,-,70.1,-,33.8,13.6,-,-,0.3
NUSA TENGGARA BARAT,-,58,-,13.9,7.7,3.8,-,34.3
NUSA TENGGARA TIMUR,-,136.3,-,76.8,63.4,2.6,-,1.5
KALIMANTAN BARAT,2200.8,94.2,326.4,7.5,4.2,-,-,-
KALIMANTAN TENGAH,2196.3,37.1,312.8,2.1,3,-,-,-
KALIMANTAN SELATAN,516.7,36.7,208.9,2.2,0.4,-,-,-
KALIMANTAN TIMUR,1328.5,20.1,76.2,1.4,7.8,-,-,-
KALIMANTAN UTARA,242.4,1.3,2.6,1,2.5,-,-,-
SULAWESI UTARA,-,273.4,-,7.7,16,-,-,-
SULAWESI TENGAH,143.3,218.1,5.8,11.3,274,-,-,0.1
SULAWESI SELATAN,53.1,91.5,8.5,79.4,175.5,12.9,-,1.5
SULAWESI TENGGARA,62,61.7,0.8,9.6,225.4,3.1,-,-
GORONTALO,15.4,71.3,-,1.3,13,9.8,-,-
SULAWESI BARAT,147.3,43.1,-,16.5,142,-,-,-
MALUKU,10.2,116.8,6.2,1.3,24.2,-,-,-
MALUKU UTARA,5.6,204,-,0.4,22.3,-,-,-
PAPUA BARAT,73.3,22.9,-,0.3,11.2,-,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-
PAPUA,143.6,25.7,8.7,14.7,32.9,-,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-
INDONESIA,15435.7,3331.6,3546.2,1268.9,1410.9,504.8,99.8,191.8
